learning_rate,weight_decay,batch_size,freeze_backbone,val_macro_recall
0.001,0.0001,16,False,0.5
0.0001,0.0001,32,False,0.5
0.0001,0.0001,32,True,0.5
0.0001,0.0,32,False,0.4583333333333333
0.0001,0.0,16,False,0.4583333333333333
0.001,0.0,16,False,0.4166666666666667
0.001,0.0,32,False,0.4166666666666667
0.0003,0.0,16,True,0.4166666666666667
0.0001,0.0001,16,True,0.4166666666666667
0.0001,0.0,32,True,0.4166666666666667
0.0003,0.0001,32,False,0.4166666666666667
0.0003,0.0001,16,True,0.4166666666666667
0.0003,0.0001,16,False,0.4166666666666667
0.0003,0.0,32,True,0.4166666666666667
0.001,0.0,32,True,0.375
0.001,0.0001,32,True,0.375
0.0003,0.0001,32,True,0.375
0.0003,0.0,32,False,0.375
0.0001,0.0,16,True,0.375
0.0003,0.0,16,False,0.375
0.0001,0.0001,16,False,0.375
0.001,0.0001,32,False,0.3333333333333333
0.001,0.0,16,True,0.3333333333333333
0.001,0.0001,16,True,0.3333333333333333
